"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
0.236,1.040,-2.840E-4,
0.236,,,2.00E-5
0.236,1.041,-3.194E-4,
0.236,,,1.98E-5
0.237,1.039,-2.400E-4,
0.237,,,1.98E-5
0.237,1.041,1.958E-4,
0.237,,,1.99E-5
0.238,1.041,-4.714E-5,
0.238,,,1.99E-5
0.238,1.040,2.666E-4,
0.238,,,2.00E-5
0.239,1.040,2.177E-4,
0.239,,,2.01E-5
0.239,1.040,1.079E-4,
0.239,,,2.01E-5
0.240,1.040,-1.668E-4,
0.240,,,2.02E-5
0.240,1.041,6.950E-4,
0.240,,,2.04E-5
0.241,1.040,4.929E-5,
0.241,,,2.05E-5
0.241,1.040,2.226E-4,
0.241,,,2.06E-5
0.241,1.039,2.300E-4,
0.242,,,2.08E-5
0.242,1.040,5.144E-4,
0.242,,,2.10E-5
0.242,1.040,2.812E-4,
0.243,,,2.12E-5
0.243,1.039,4.546E-4,
0.243,,,2.14E-5
0.243,1.040,4.692E-4,
0.244,,,2.16E-5
0.244,1.040,4.314E-4,
0.244,,,2.18E-5
0.245,1.039,3.728E-4,
0.245,,,2.20E-5
0.245,1.039,4.643E-4,
0.245,,,2.21E-5
0.245,1.040,-9.109E-5,
0.246,,,2.22E-5
0.246,1.039,2.776E-4,
0.246,,,2.22E-5
0.246,1.039,-2.852E-4,
0.247,,,2.21E-5
0.247,1.041,1.482E-4,
0.247,,,2.22E-5
0.247,1.040,3.166E-4,
0.248,,,2.23E-5
0.248,1.041,-1.448E-4,
0.248,,,2.22E-5
0.249,1.040,-2.730E-4,
0.249,,,2.22E-5
0.249,1.039,3.178E-4,
0.249,,,2.22E-5
0.250,1.039,-3.242E-4,
0.250,,,2.21E-5
0.250,1.039,-1.717E-4,
0.250,,,2.20E-5
0.250,1.040,-2.864E-4,
0.251,,,2.19E-5
0.251,1.041,8.469E-5,
0.251,,,2.18E-5
0.252,1.040,-3.694E-4,
0.252,,,2.17E-5
0.252,1.040,-2.779E-4,
0.252,,,2.15E-5
0.253,1.039,-3.682E-4,
0.253,,,2.13E-5
0.253,1.040,-2.986E-4,
0.253,,,2.13E-5
0.254,1.040,-8.376E-5,
0.254,,,2.12E-5
0.254,1.041,-1.907E-5,
0.254,,,2.12E-5
0.254,1.040,-1.277E-4,
0.255,,,2.12E-5
0.255,1.041,3.581E-4,
0.255,,,2.13E-5
0.256,1.040,-5.203E-5,
0.256,,,2.13E-5
0.256,1.041,-1.790E-4,
0.256,,,2.13E-5
0.257,1.039,1.799E-4,
0.257,,,2.14E-5
0.257,1.040,3.142E-4,
0.257,,,2.15E-5
0.258,1.041,1.946E-4,
0.258,,,2.17E-5
0.258,1.040,4.216E-4,
0.258,,,2.19E-5
0.258,1.040,6.462E-4,
0.259,,,2.22E-5
0.259,1.040,3.667E-4,
0.259,,,2.23E-5
0.260,1.040,1.396E-4,
0.260,,,2.24E-5
0.260,1.039,3.581E-4,
0.260,,,2.27E-5
0.261,1.040,5.840E-4,
0.261,,,2.29E-5
0.261,1.040,3.691E-4,
0.261,,,2.31E-5
0.262,1.040,4.485E-4,
0.262,,,2.33E-5
0.262,1.039,1.347E-4,
0.262,,,2.34E-5
0.262,1.040,3.240E-4,
0.263,,,2.35E-5
0.263,1.039,2.488E-5,
0.263,,,2.34E-5
0.264,1.040,-2.168E-4,
0.264,,,2.34E-5
0.264,1.039,2.800E-4,
0.264,,,2.36E-5
0.265,1.040,3.301E-4,
0.265,,,2.35E-5
0.265,1.040,-5.806E-4,
0.265,,,2.34E-5
0.266,1.040,-1.131E-4,
0.266,,,2.33E-5
0.266,1.040,-3.616E-5,
0.266,,,2.32E-5
0.266,1.040,-3.816E-4,
0.267,,,2.30E-5
0.267,1.041,-4.073E-4,
0.267,,,2.28E-5
0.268,1.039,-2.656E-4,
0.268,,,2.27E-5
0.268,1.040,-2.241E-4,
0.268,,,2.26E-5
0.269,1.041,-1.472E-4,
0.269,,,2.25E-5
0.269,1.040,-3.987E-4,
0.269,,,2.24E-5
0.270,1.041,-1.546E-4,
0.270,,,2.23E-5
0.270,1.040,-1.663E-5,
0.270,,,2.22E-5
0.270,1.040,-3.426E-4,
0.271,,,2.20E-5
0.271,1.041,-3.841E-4,
0.271,,,2.19E-5
0.272,1.041,-1.082E-4,
0.272,,,2.19E-5
0.272,1.040,9.690E-5,
0.272,,,2.20E-5
0.273,1.041,1.592E-4,
0.273,,,2.20E-5
0.273,1.040,-2.132E-4,
0.273,,,2.20E-5
0.274,1.040,3.838E-4,
0.274,,,2.22E-5
0.274,1.040,3.874E-4,
0.274,,,2.24E-5
0.275,1.040,2.617E-4,
0.275,,,2.26E-5
0.275,1.041,7.536E-4,
0.275,,,2.29E-5
0.276,1.040,3.948E-4,
0.276,,,2.31E-5
0.276,1.040,3.728E-4,
0.276,,,2.33E-5
0.277,1.041,4.570E-4,
0.277,,,2.35E-5
0.277,1.040,3.911E-4,
0.277,,,2.37E-5
0.278,1.040,5.266E-4,
0.278,,,2.40E-5
0.278,1.040,3.801E-4,
0.278,,,2.42E-5
0.279,1.040,3.789E-4,
0.279,,,2.43E-5
0.279,1.040,3.594E-4,
0.279,,,2.45E-5
0.280,1.040,3.020E-4,
0.280,,,2.47E-5
0.280,1.040,3.703E-4,
0.280,,,2.48E-5
0.281,1.040,2.080E-4,
0.281,,,2.49E-5
0.281,1.039,-1.978E-6,
0.281,,,2.49E-5
0.282,1.040,1.067E-4,
0.282,,,2.50E-5
0.282,1.039,1.335E-4,
0.282,,,2.49E-5
0.283,1.039,-3.645E-4,
0.283,,,2.47E-5
0.283,1.041,-5.403E-4,
0.283,,,2.44E-5
0.284,1.039,-3.657E-4,
0.284,,,2.43E-5
0.284,1.040,-1.143E-4,
0.284,,,2.42E-5
0.285,1.041,-2.913E-4,
0.285,,,2.41E-5
0.285,1.040,-2.656E-4,
0.285,,,2.40E-5
0.286,1.041,-2.656E-4,
0.286,,,2.38E-5
0.286,1.041,-2.681E-4,
0.286,,,2.37E-5
0.287,1.041,-2.083E-4,
0.287,,,2.37E-5
0.287,1.041,7.737E-5,
0.287,,,2.37E-5
0.288,1.041,1.042E-4,
0.288,,,2.38E-5
0.288,1.041,3.471E-4,
0.288,,,2.39E-5
0.288,1.040,1.018E-4,
0.289,,,2.39E-5
0.289,1.039,-1.546E-4,
0.289,,,2.40E-5
0.290,1.040,2.763E-4,
0.290,,,2.41E-5
0.290,1.040,3.496E-4,
0.290,,,2.42E-5
0.290,1.040,1.421E-4,
0.291,,,2.43E-5
0.291,1.041,7.737E-5,
0.291,,,2.44E-5
0.291,1.041,2.507E-4,
0.292,,,2.45E-5
0.292,1.041,2.531E-4,
0.292,,,2.46E-5
0.292,1.040,2.751E-4,
0.293,,,2.48E-5
0.293,1.039,4.240E-4,
0.293,,,2.50E-5
0.293,1.039,3.655E-4,
0.294,,,2.53E-5
0.294,1.040,6.316E-4,
0.294,,,2.55E-5
0.294,1.038,3.301E-4,
0.295,,,2.57E-5
0.295,1.040,4.668E-4,
0.295,,,2.59E-5
0.295,1.038,2.007E-4,
0.296,,,2.60E-5
0.296,1.040,3.191E-4,
0.296,,,2.61E-5
0.296,1.040,7.859E-5,
0.297,,,2.61E-5
0.297,1.040,-2.273E-5,
0.297,,,2.62E-5
0.298,1.041,3.618E-4,
0.298,,,2.63E-5
0.298,1.040,-1.541E-5,
0.298,,,2.62E-5
0.298,1.040,-3.511E-4,
0.299,,,2.61E-5
0.299,1.041,3.464E-5,
0.299,,,2.61E-5
0.300,1.039,3.098E-5,
0.300,,,2.61E-5
0.300,1.040,-1.533E-4,
0.300,,,2.60E-5
0.300,1.042,-2.681E-4,
0.301,,,2.59E-5
0.301,1.040,-4.419E-6,
0.301,,,2.59E-5
0.302,1.040,-1.094E-4,
0.302,,,2.58E-5
0.302,1.041,-4.414E-4,
0.302,,,2.56E-5
0.302,1.041,-2.022E-4,
0.303,,,2.55E-5
0.303,1.042,-2.986E-4,
0.303,,,2.53E-5
0.304,1.041,-1.704E-4,
0.304,,,2.52E-5
0.304,1.040,-2.302E-4,
0.304,,,2.52E-5
0.304,1.042,-4.470E-5,
0.305,,,2.51E-5
0.305,1.040,-1.814E-4,
0.305,,,2.51E-5
0.306,1.041,1.511E-5,
0.306,,,2.51E-5
0.306,1.041,-1.106E-4,
0.306,,,2.51E-5
0.306,1.041,1.115E-4,
0.307,,,2.52E-5
0.307,1.042,6.438E-4,
0.307,,,2.54E-5
0.308,1.041,1.145E-5,
0.308,,,2.55E-5
0.308,1.039,3.630E-4,
0.308,,,2.57E-5
0.308,1.041,4.936E-4,
0.309,,,2.59E-5
0.309,1.040,4.350E-4,
0.309,,,2.61E-5
0.310,1.040,2.849E-4,
0.310,,,2.63E-5
0.310,1.041,2.617E-4,
0.310,,,2.65E-5
0.310,1.040,4.924E-4,
0.311,,,2.66E-5
0.311,1.039,2.470E-4,
0.311,,,2.68E-5
0.312,1.038,4.985E-4,
0.312,,,2.71E-5
0.312,1.039,4.375E-4,
0.312,,,2.73E-5
0.312,1.041,3.764E-4,
0.313,,,2.74E-5
0.313,1.040,3.398E-4,
0.313,,,2.76E-5
0.314,1.040,3.801E-4,
0.314,,,2.77E-5
0.314,1.040,-1.314E-4,
0.314,,,2.77E-5
0.314,1.040,2.226E-4,
0.315,,,2.77E-5
0.315,1.039,-1.875E-4,
0.315,,,2.76E-5
0.316,1.041,-3.279E-4,
0.316,,,2.75E-5
0.316,1.040,-4.104E-5,
0.316,,,2.75E-5
0.316,1.040,3.708E-5,
0.317,,,2.74E-5
0.317,1.041,-3.279E-4,
0.317,,,2.73E-5
0.318,1.040,-2.669E-4,
0.318,,,2.72E-5
0.318,1.039,-2.144E-4,
0.318,,,2.71E-5
0.318,1.040,-1.729E-4,
0.319,,,2.69E-5
0.319,1.041,-3.047E-4,
0.319,,,2.68E-5
0.320,1.043,-1.057E-4,
0.320,,,2.67E-5
0.320,1.040,-3.316E-4,
0.320,,,2.67E-5
0.320,1.042,1.689E-4,
0.321,,,2.67E-5
0.321,1.040,-2.339E-4,
0.321,,,2.66E-5
0.322,1.040,-8.081E-6,
0.322,,,2.65E-5
0.322,1.040,-2.730E-4,
0.322,,,2.65E-5
0.322,1.040,-7.568E-7,
0.323,,,2.65E-5
0.323,1.041,2.409E-4,
0.323,,,2.66E-5
0.324,1.041,1.592E-4,
0.324,,,2.68E-5
0.324,1.040,5.217E-4,
0.324,,,2.70E-5
0.325,1.041,4.546E-4,
0.325,,,2.72E-5
0.325,1.041,3.655E-4,
0.325,,,2.75E-5
0.326,1.040,4.814E-4,
0.326,,,2.76E-5
0.326,1.041,2.190E-4,
0.326,,,2.78E-5
0.327,1.040,4.826E-4,
0.327,,,2.81E-5
0.327,1.040,5.034E-4,
0.327,,,2.83E-5
0.328,1.040,4.839E-4,
0.328,,,2.85E-5
0.328,1.039,4.729E-4,
0.328,,,2.87E-5
0.329,1.040,2.617E-4,
0.329,,,2.87E-5
0.329,1.040,-2.949E-4,
0.329,,,2.87E-5
0.330,1.041,2.519E-4,
0.330,,,2.88E-5
0.330,1.040,3.342E-5,
0.330,,,2.89E-5
0.331,1.040,3.276E-4,
0.331,,,2.89E-5
0.331,1.041,-4.104E-5,
0.331,,,2.89E-5
0.332,1.040,6.882E-5,
0.332,,,2.90E-5
0.332,1.040,1.457E-4,
0.332,,,2.89E-5
0.333,1.039,-4.085E-4,
0.333,,,2.87E-5
0.333,1.040,-4.622E-4,
0.333,,,2.85E-5
0.334,1.040,-2.620E-4,
0.334,,,2.84E-5
0.334,1.040,-1.619E-4,
0.334,,,2.84E-5
0.335,1.040,1.511E-5,
0.335,,,2.83E-5
0.335,1.039,-3.853E-4,
0.335,,,2.81E-5
0.336,1.041,-3.499E-4,
0.336,,,2.80E-5
0.336,1.041,-2.888E-4,
0.336,,,2.79E-5
0.337,1.042,-7.278E-5,
0.337,,,2.78E-5
0.337,1.041,-2.949E-4,
0.337,,,2.76E-5
0.338,1.040,-2.290E-4,
0.338,,,2.75E-5
0.338,1.040,-4.524E-4,
0.338,,,2.74E-5
0.339,1.041,2.678E-4,
0.339,,,2.75E-5
0.339,1.040,7.371E-5,
0.339,,,2.75E-5
0.340,1.041,4.319E-5,
0.340,,,2.77E-5
0.340,1.041,3.972E-4,
0.340,,,2.77E-5
0.341,1.040,-2.151E-5,
0.341,,,2.79E-5
0.341,1.041,5.681E-4,
0.341,,,2.82E-5
0.342,1.041,5.217E-4,
0.342,,,2.84E-5
0.342,1.039,4.070E-4,
0.342,,,2.86E-5
0.343,1.041,2.641E-4,
0.343,,,2.87E-5
0.343,1.040,2.812E-4,
0.343,,,2.89E-5
0.344,1.040,4.363E-4,
0.344,,,2.91E-5
0.344,1.040,6.560E-4,
0.344,,,2.94E-5
0.345,1.039,1.872E-4,
0.345,,,2.95E-5
0.345,1.041,4.314E-4,
0.345,,,2.97E-5
0.346,1.040,3.337E-4,
0.346,,,2.99E-5
0.346,1.040,3.423E-4,
0.346,,,3.00E-5
0.347,1.040,3.532E-4,
0.347,,,3.02E-5
0.347,1.040,2.031E-4,
0.347,,,3.02E-5
0.348,1.041,-6.912E-5,
0.348,,,3.03E-5
0.348,1.040,2.214E-4,
0.348,,,3.03E-5
0.349,1.040,-4.348E-5,
0.349,,,3.03E-5
0.349,1.041,2.287E-4,
0.349,,,3.04E-5
0.350,1.040,-1.692E-4,
0.350,,,3.03E-5
0.350,1.042,-3.005E-5,
0.350,,,3.02E-5
0.351,1.040,-3.841E-4,
0.351,,,3.01E-5
0.351,1.039,-1.887E-4,
0.351,,,3.00E-5
0.352,1.040,-1.741E-4,
0.352,,,2.99E-5
0.352,1.041,-1.778E-4,
0.352,,,2.98E-5
0.352,1.040,-3.474E-4,
0.353,,,2.96E-5
0.353,1.042,-2.010E-4,
0.353,,,2.95E-5
0.354,1.041,-1.228E-4,
0.354,,,2.94E-5
0.354,1.040,-2.888E-4,
0.354,,,2.93E-5
0.354,1.041,-2.034E-4,
0.355,,,2.93E-5
0.355,1.040,7.615E-5,
0.355,,,2.93E-5
0.355,1.041,-5.081E-5,
0.356,,,2.94E-5
0.356,1.042,4.839E-4,
0.356,,,2.95E-5
0.356,1.040,8.835E-5,
0.357,,,2.95E-5
0.357,1.041,-1.533E-4,
0.357,,,2.96E-5
0.358,1.040,5.876E-4,
0.358,,,2.99E-5
0.358,1.041,5.119E-4,
0.358,,,3.02E-5
0.358,1.040,5.742E-4,
0.359,,,3.04E-5
0.359,1.041,4.387E-4,
0.359,,,3.06E-5
0.359,1.042,4.277E-4,
0.360,,,3.09E-5
0.360,1.041,4.704E-4,
0.360,,,3.11E-5
0.360,1.040,3.996E-4,
0.361,,,3.13E-5
0.361,1.040,4.350E-4,
0.361,,,3.15E-5
0.362,1.040,3.948E-4,
0.362,,,3.17E-5
0.362,1.041,4.936E-4,
0.362,,,3.19E-5
0.362,1.041,2.568E-4,
0.363,,,3.20E-5
0.363,1.040,2.861E-4,
0.363,,,3.22E-5
0.363,1.040,4.021E-4,
0.364,,,3.23E-5
0.364,1.040,-1.033E-4,
0.364,,,3.23E-5
0.364,1.040,2.300E-4,
0.365,,,3.24E-5
0.365,1.041,-8.499E-5,
0.365,,,3.24E-5
0.366,1.040,1.518E-4,
0.366,,,3.24E-5
0.366,1.041,-9.109E-5,
0.366,,,3.24E-5
0.366,1.041,2.366E-5,
0.367,,,3.24E-5
0.367,1.040,-9.841E-5,
0.367,,,3.23E-5
0.367,1.040,-2.241E-4,
0.368,,,3.22E-5
0.368,1.040,-2.510E-4,
0.368,,,3.20E-5
0.368,1.041,-2.339E-4,
0.369,,,3.19E-5
0.369,1.041,-2.547E-4,
0.369,,,3.18E-5
0.370,1.041,-1.765E-4,
0.370,,,3.18E-5
0.370,1.042,3.098E-5,
0.370,,,3.17E-5
0.370,1.040,-3.755E-4,
0.371,,,3.14E-5
0.371,1.039,-7.527E-4,
0.371,,,3.13E-5
0.371,1.042,1.738E-4,
0.372,,,3.13E-5
0.372,1.041,1.799E-4,
0.372,,,3.13E-5
0.372,1.040,-1.961E-4,
0.373,,,3.14E-5
0.373,1.041,3.276E-4,
0.373,,,3.14E-5
0.374,1.039,-1.070E-4,
0.374,,,3.15E-5
0.374,1.040,5.229E-4,
0.374,,,3.18E-5
0.375,1.040,4.302E-4,
0.375,,,3.20E-5
0.375,1.040,4.314E-4,
0.375,,,3.22E-5
0.375,1.041,4.143E-4,
0.376,,,3.24E-5
0.376,1.040,3.447E-4,
0.376,,,3.26E-5
0.377,1.041,5.559E-4,
0.377,,,3.29E-5
0.377,1.040,5.095E-4,
0.377,,,3.31E-5
0.378,1.039,4.436E-4,
0.378,,,3.33E-5
0.378,1.040,3.716E-4,
0.378,,,3.35E-5
0.379,1.040,2.959E-4,
0.379,,,3.36E-5
0.379,1.041,9.690E-5,
0.379,,,3.37E-5
0.379,1.040,1.811E-4,
0.380,,,3.38E-5
0.380,1.040,3.264E-4,
0.380,,,3.39E-5
0.381,1.040,1.511E-5,
0.381,,,3.40E-5
0.381,1.040,3.948E-4,
0.381,,,3.41E-5
0.382,1.041,-5.203E-5,
0.382,,,3.40E-5
0.382,1.041,-1.118E-4,
0.382,,,3.40E-5
0.383,1.040,3.220E-5,
0.383,,,3.40E-5
0.383,1.040,-1.326E-4,
0.383,,,3.39E-5
0.383,1.041,-3.005E-5,
0.384,,,3.39E-5
0.384,1.040,-1.594E-4,
0.384,,,3.38E-5
0.385,1.042,-7.034E-5,
0.385,,,3.38E-5
0.385,1.041,-2.302E-4,
0.385,,,3.36E-5
0.386,1.041,-3.084E-4,
0.386,,,3.35E-5
0.386,1.040,-2.876E-4,
0.386,,,3.33E-5
0.387,1.041,-2.571E-4,
0.387,,,3.32E-5
0.387,1.041,-3.047E-4,
0.387,,,3.30E-5
0.387,1.039,-5.196E-4,
0.388,,,3.29E-5
0.388,1.042,1.079E-4,
0.388,,,3.29E-5
0.389,1.042,1.286E-4,
0.389,,,3.29E-5
0.389,1.040,-1.179E-4,
0.389,,,3.30E-5
0.390,1.040,3.313E-4,
0.390,,,3.31E-5
0.390,1.040,1.164E-4,
0.390,,,3.32E-5
0.391,1.041,3.105E-4,
0.391,,,3.34E-5
0.391,1.040,3.679E-4,
0.391,,,3.36E-5
0.391,1.040,3.825E-4,
0.392,,,3.38E-5
0.392,1.041,5.766E-4,
0.392,,,3.41E-5
0.393,1.040,5.449E-4,
0.393,,,3.43E-5
0.393,1.040,3.911E-4,
0.393,,,3.45E-5
0.394,1.041,3.130E-4,
0.394,,,3.47E-5
0.394,1.041,5.925E-4,
0.394,,,3.50E-5
0.395,1.040,4.082E-4,
0.395,,,3.52E-5
0.395,1.041,6.340E-4,
0.395,,,3.54E-5
0.395,1.039,2.007E-4,
0.396,,,3.55E-5
0.396,1.040,-3.860E-5,
0.396,,,3.56E-5
0.397,1.040,3.618E-4,
0.397,,,3.57E-5
0.397,1.040,3.532E-4,
0.397,,,3.59E-5
0.398,1.041,6.394E-5,
0.398,,,3.59E-5
0.398,1.041,2.910E-4,
0.398,,,3.60E-5
0.399,1.040,-2.351E-4,
0.399,,,3.59E-5
0.399,1.040,6.760E-5,
0.399,,,3.60E-5
0.400,1.041,2.177E-4,
0.400,,,3.60E-5
0.400,1.040,-2.888E-4,
0.400,,,3.58E-5
0.400,1.041,-3.889E-4,
0.401,,,3.57E-5
0.401,1.040,-1.546E-4,
0.401,,,3.55E-5
0.402,1.041,-3.303E-4,
0.402,,,3.54E-5
0.402,1.041,-9.231E-5,
0.402,,,3.54E-5
0.403,1.042,-2.071E-4,
0.403,,,3.53E-5
0.403,1.041,-1.350E-4,
0.403,,,3.51E-5
0.404,1.041,-3.682E-4,
0.404,,,3.50E-5
0.404,1.041,-3.413E-4,
0.404,,,3.48E-5
0.405,1.040,-2.156E-4,
0.405,,,3.48E-5
0.405,1.041,1.677E-4,
0.405,,,3.48E-5
0.406,1.041,-8.865E-5,
0.406,,,3.49E-5
0.406,1.040,1.421E-4,
0.406,,,3.49E-5
0.407,1.041,2.043E-4,
0.407,,,3.50E-5
0.407,1.041,1.262E-4,
0.407,,,3.52E-5
0.408,1.041,7.170E-4,
0.408,,,3.54E-5
0.408,1.040,1.128E-4,
0.408,,,3.56E-5
0.408,1.042,4.973E-4,
0.409,,,3.58E-5
0.409,1.041,2.409E-4,
0.409,,,3.59E-5
0.410,1.040,3.850E-4,
0.410,,,3.61E-5
0.410,1.040,4.472E-4,
0.410,,,3.64E-5
0.411,1.041,4.350E-4,
0.411,,,3.65E-5
0.411,1.040,2.544E-4,
0.411,,,3.67E-5
0.412,1.040,4.692E-4,
0.412,,,3.69E-5
0.412,1.040,3.545E-4,
0.412,,,3.71E-5
0.413,1.039,2.751E-4,
0.413,,,3.72E-5
0.413,1.041,3.545E-4,
0.413,,,3.74E-5
0.414,1.040,2.617E-4,
0.414,,,3.75E-5
0.414,1.041,8.347E-5,
0.414,,,3.76E-5
0.415,1.040,4.033E-4,
0.415,,,3.77E-5
0.415,1.040,-1.814E-4,
0.415,,,3.76E-5
0.416,1.040,-6.057E-5,
0.416,,,3.76E-5
0.416,1.040,2.244E-5,
0.416,,,3.75E-5
0.416,1.042,-1.741E-4,
0.417,,,3.75E-5
0.417,1.041,-1.851E-4,
0.417,,,3.74E-5
0.417,1.042,7.371E-5,
0.418,,,3.74E-5
0.418,1.041,-1.057E-4,
0.418,,,3.73E-5
0.418,1.040,-3.328E-4,
0.419,,,3.72E-5
0.419,1.042,-2.425E-4,
0.419,,,3.70E-5
0.420,1.041,-3.999E-4,
0.420,,,3.69E-5
0.420,1.041,-1.717E-4,
0.420,,,3.67E-5
0.420,1.041,-4.536E-4,
0.421,,,3.65E-5
0.421,1.040,-4.597E-4,
0.421,,,3.64E-5
0.421,1.041,2.971E-4,
0.422,,,3.66E-5
0.422,1.040,1.836E-4,
0.422,,,3.67E-5
0.422,1.040,1.811E-4,
0.423,,,3.67E-5
0.423,1.040,7.249E-5,
0.423,,,3.68E-5
0.424,1.041,2.385E-4,
0.424,,,3.70E-5
0.424,1.042,4.973E-4,
0.424,,,3.72E-5
0.425,1.042,5.315E-4,
0.425,,,3.75E-5
0.425,1.041,4.533E-4,
0.425,,,3.77E-5
0.425,1.041,5.046E-4,
0.426,,,3.79E-5
0.426,1.040,3.325E-4,
0.426,,,3.81E-5
0.426,1.040,3.996E-4,
0.427,,,3.83E-5
0.427,1.041,5.522E-4,
0.427,,,3.86E-5
0.428,1.040,4.680E-4,
0.428,,,3.88E-5
0.428,1.041,4.936E-4,
0.428,,,3.91E-5
0.429,1.040,4.179E-4,
0.429,,,3.93E-5
0.429,1.039,4.057E-4,
0.429,,,3.95E-5
0.429,1.040,4.338E-4,
0.430,,,3.97E-5
0.430,1.040,2.385E-4,
0.430,,,3.97E-5
0.430,1.041,-8.621E-5,
0.431,,,3.98E-5
0.431,1.042,3.594E-4,
0.431,,,3.98E-5
0.432,1.040,-6.912E-5,
0.432,,,3.97E-5
0.432,1.041,-2.840E-4,
0.432,,,3.97E-5
0.433,1.040,7.737E-5,
0.433,,,3.97E-5
0.433,1.041,-1.240E-4,
0.433,,,3.96E-5
0.433,1.041,-2.547E-4,
0.434,,,3.94E-5
0.434,1.040,-3.535E-4,
0.434,,,3.93E-5
0.434,1.041,-2.644E-4,
0.435,,,3.92E-5
0.435,1.041,-1.277E-4,
0.435,,,3.91E-5
0.436,1.040,-3.181E-4,
0.436,,,3.89E-5
0.436,1.042,-2.144E-4,
0.436,,,3.89E-5
0.437,1.042,-1.375E-4,
0.437,,,3.88E-5
0.437,1.042,-8.010E-5,
0.437,,,3.87E-5
0.437,1.041,-2.071E-4,
0.438,,,3.87E-5
0.438,1.041,3.220E-5,
0.438,,,3.86E-5
0.438,1.041,-2.449E-4,
0.439,,,3.86E-5
0.439,1.041,2.654E-4,
0.439,,,3.87E-5
0.440,1.040,-2.029E-5,
0.440,,,3.86E-5
0.440,1.041,-1.729E-4,
0.440,,,3.87E-5
0.441,1.042,5.083E-4,
0.441,,,3.90E-5
0.441,1.042,4.924E-4,
0.441,,,3.92E-5
0.441,1.040,4.863E-4,
0.442,,,3.94E-5
0.442,1.040,2.593E-4,
0.442,,,3.96E-5
0.442,1.041,3.984E-4,
0.443,,,3.98E-5
0.443,1.041,5.473E-4,
0.443,,,4.00E-5
0.444,1.041,3.484E-4,
0.444,,,4.03E-5
0.444,1.041,5.254E-4,
0.444,,,4.05E-5
0.445,1.040,3.508E-4,
0.445,,,4.06E-5
0.445,1.040,2.153E-4,
0.445,,,4.08E-5
0.445,1.041,4.265E-4,
0.446,,,4.10E-5
0.446,1.040,5.095E-4,
0.446,,,4.12E-5
0.446,1.041,3.496E-4,
0.447,,,4.13E-5
0.447,1.040,1.079E-4,
0.447,,,4.13E-5
0.448,1.041,-1.326E-4,
0.448,,,4.14E-5
0.448,1.042,2.666E-4,
0.448,,,4.15E-5
0.449,1.041,2.605E-4,
0.449,,,4.16E-5
0.449,1.040,1.213E-4,
0.449,,,4.16E-5
0.450,1.040,-1.277E-4,
0.450,,,4.15E-5
0.450,1.041,-1.021E-4,
0.450,,,4.14E-5
0.450,1.041,-2.766E-4,
0.451,,,4.14E-5
0.451,1.041,5.051E-5,
0.451,,,4.13E-5
0.452,1.041,-2.583E-4,
0.452,,,4.12E-5
0.452,1.041,-3.267E-4,
0.452,,,4.10E-5
0.453,1.042,-2.840E-4,
0.453,,,4.09E-5
0.453,1.042,-2.595E-4,
0.453,,,4.08E-5
0.454,1.042,-1.863E-4,
0.454,,,4.07E-5
0.454,1.040,-1.546E-4,
0.454,,,4.07E-5
0.454,1.043,2.800E-4,
0.455,,,4.08E-5
0.455,1.040,1.848E-4,
0.455,,,4.09E-5
0.456,1.041,1.396E-4,
0.456,,,4.11E-5
0.456,1.042,7.231E-4,
0.456,,,4.15E-5
0.457,1.041,5.119E-4,
0.457,,,4.17E-5
0.457,1.042,3.508E-4,
0.457,,,4.19E-5
0.458,1.041,6.279E-4,
0.458,,,4.22E-5
0.458,1.041,5.022E-4,
0.458,,,4.25E-5
0.458,1.041,6.194E-4,
0.459,,,4.27E-5
0.459,1.040,2.751E-4,
0.459,,,4.29E-5
0.460,1.042,3.496E-4,
0.460,,,4.30E-5
0.460,1.040,3.801E-4,
0.460,,,4.33E-5
0.461,1.041,5.937E-4,
0.461,,,4.35E-5
0.461,1.041,4.643E-4,
0.461,,,4.37E-5
0.462,1.040,1.970E-4,
0.462,,,4.39E-5
0.462,1.041,5.486E-4,
0.462,,,4.41E-5
0.462,1.039,1.604E-4,
0.463,,,4.42E-5
0.463,1.040,4.985E-4,
0.463,,,4.45E-5
0.464,1.041,4.460E-4,
0.464,,,4.46E-5
0.464,1.041,-6.860E-6,
0.464,,,4.46E-5
0.465,1.041,3.220E-5,
0.465,,,4.45E-5
0.465,1.040,-4.268E-4,
0.465,,,4.43E-5
0.466,1.041,-3.731E-4,
0.466,,,4.42E-5
0.466,1.041,-2.639E-5,
0.466,,,4.41E-5
0.466,1.041,-2.840E-4,
0.467,,,4.39E-5
0.467,1.040,-4.390E-4,
0.467,,,4.38E-5
0.468,1.042,-1.204E-4,
0.468,,,4.37E-5
0.468,1.040,-2.571E-4,
0.468,,,4.36E-5
0.469,1.041,-1.277E-4,
0.469,,,4.35E-5
0.469,1.041,-4.146E-4,
0.469,,,4.33E-5
0.470,1.041,-1.863E-4,
0.470,,,4.32E-5
0.470,1.042,-1.607E-4,
0.470,,,4.32E-5
0.470,1.041,7.615E-5,
0.471,,,4.32E-5
0.471,1.042,-2.400E-4,
0.471,,,4.32E-5
0.472,1.041,1.750E-4,
0.472,,,4.32E-5
0.472,1.040,-1.668E-4,
0.472,,,4.31E-5
